[GLOBAL_MONITOR] T=280,p50=1.0,p99=1.0,req/s=729.3,req_tot=7293.0,comp=8005.0,supp=880.0,inst=117,config=list[8, 8, 1, 1, 1, 22, 16, 6, 6, 16, 16, 16]
[GLOBAL_MONITOR] T=290,p50=1.0,p99=1.0,req/s=597.9,req_tot=5979.0,comp=5979.0,supp=760.0,inst=104,config=list[8, 8, 1, 1, 1, 19, 14, 5, 5, 14, 14, 14]
[GLOBAL_MONITOR] T=300,p50=1.0,p99=1.0,req/s=517.8,req_tot=5178.0,comp=5178.0,supp=720.0,inst=97,config=list[7, 7, 1, 1, 1, 18, 13, 5, 5, 13, 13, 13]
[GLOBAL_MONITOR] T=310,p50=1.0,p99=1.0,req/s=439.6,req_tot=4396.0,comp=4396.0,supp=550.0,inst=75,config=list[5, 5, 1, 1, 1, 14, 10, 4, 4, 10, 10, 10]
[GLOBAL_MONITOR] T=320,p50=1.0,p99=1.0,req/s=354.9,req_tot=3549.0,comp=3549.0,supp=550.0,inst=75,config=list[5, 5, 1, 1, 1, 14, 10, 4, 4, 10, 10, 10]
[GLOBAL_MONITOR] T=330,p50=1.0,p99=1.0,req/s=301.1,req_tot=3011.0,comp=3011.0,supp=400.0,inst=55,config=list[4, 4, 1, 1, 1, 10, 7, 3, 3, 7, 7, 7]
[GLOBAL_MONITOR] T=340,p50=1.0,p99=1.0,req/s=300.7,req_tot=3007.0,comp=3007.0,supp=400.0,inst=55,config=list[4, 4, 1, 1, 1, 10, 7, 3, 3, 7, 7, 7]
[GLOBAL_MONITOR] T=350,p50=1.0,p99=1.0,req/s=302.7,req_tot=3027.0,comp=3027.0,supp=400.0,inst=55,config=list[4, 4, 1, 1, 1, 10, 7, 3, 3, 7, 7, 7]
[GLOBAL_MONITOR] T=360,p50=1.0,p99=1.0,req/s=243.6,req_tot=2436.0,comp=2436.0,supp=400.0,inst=55,config=list[4, 4, 1, 1, 1, 10, 7, 3, 3, 7, 7, 7]
[GLOBAL_MONITOR] T=370,p50=1.0,p99=1.0,req/s=195.4,req_tot=1954.0,comp=1954.0,supp=300.0,inst=41,config=list[3, 3, 1, 1, 1, 8, 5, 2, 2, 5, 5, 5]
[GLOBAL_MONITOR] T=380,p50=1.0,p99=1.0,req/s=79.8,req_tot=798.0,comp=798.0,supp=220.0,inst=33,config=list[2, 2, 1, 1, 1, 6, 4, 2, 2, 4, 4, 4]
[GLOBAL_MONITOR] T=390,p50=1.0,p99=823.5294117647059,req/s=150.3,req_tot=1503.0,comp=924.0,supp=120.0,inst=20,config=list[2, 2, 1, 1, 1, 3, 2, 1, 1, 2, 2, 2]
[GLOBAL_MONITOR] T=400,p50=3000.0,p99=8380.392156862747,req/s=445.6,req_tot=4456.0,comp=1606.0,supp=220.0,inst=33,config=list[2, 2, 1, 1, 1, 6, 4, 2, 2, 4, 4, 4]
[GLOBAL_MONITOR] T=410,p50=2000.0,p99=8000.0,req/s=15.2,req_tot=152.0,comp=1439.0,supp=550.0,inst=75,config=list[5, 5, 1, 1, 1, 14, 10, 4, 4, 10, 10, 10]
[GLOBAL_MONITOR] T=420,p50=1.0,p99=322.22222222222223,req/s=41.7,req_tot=417.0,comp=326.0,supp=60.0,inst=13,config=list[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]
[GLOBAL_MONITOR] T=430,p50=1.0,p99=1835.5140186915887,req/s=198.6,req_tot=1986.0,comp=696.0,supp=120.0,inst=20,config=list[2, 2, 1, 1, 1, 3, 2, 1, 1, 2, 2, 2]
[GLOBAL_MONITOR] T=440,p50=3000.0,p99=7000.0,req/s=591.3,req_tot=5913.0,comp=1605.0,supp=220.0,inst=33,config=list[2, 2, 1, 1, 1, 6, 4, 2, 2, 4, 4, 4]
[GLOBAL_MONITOR] T=450,p50=340.03350083752093,p99=6000.0,req/s=590.8,req_tot=5908.0,comp=5670.0,supp=616.0,inst=83,config=list[6, 6, 1, 1, 1, 16, 11, 4, 4, 11, 11, 11]
[GLOBAL_MONITOR] T=460,p50=1.0,p99=1.0,req/s=593.0,req_tot=5930.0,comp=6422.0,supp=616.0,inst=83,config=list[6, 6, 1, 1, 1, 16, 11, 4, 4, 11, 11, 11]
[GLOBAL_MONITOR] T=470,p50=359.5658073270013,p99=1555.5555555555557,req/s=741.6,req_tot=7416.0,comp=6159.0,supp=616.0,inst=83,config=list[6, 6, 1, 1, 1, 16, 11, 4, 4, 11, 11, 11]
[GLOBAL_MONITOR] T=480,p50=1.0,p99=1.0,req/s=729.3,req_tot=7293.0,comp=8015.0,supp=880.0,inst=117,config=list[8, 8, 1, 1, 1, 22, 16, 6, 6, 16, 16, 16]
